uid,article_links,body,title,newspaper_uid,host,n_tokens_title,n_tokens_body
b8eb89168eb798bb8ef1744d03de4a55,https://www.eluniversal.com.mx/universal-deportes/futbol/tata-martino-lanza-convocatoria-especial,"Gerardo Martino, técnico de la Selección Nacional Mexicana, hizo una ""convocatoria muy especial"".",Tata Martino lanza convocatoria especial,eluniversal,www.eluniversal.com.mx,4,9
1ac8ace2c0c93ea3e1b4ee4c8a59b51f,https://www.eluniversal.com.mx/espectaculos/el-investigador-giorgio-tsoukalos-esta-feliz-de-ser-un-meme,"Tal vez muchos no sepan su nombre, pero en redes sociales el rostro del investigador Giorgio Tsoukalos es bien conocido. ",El investigador Giorgio Tsoukalos está feliz de ser un meme,eluniversal,www.eluniversal.com.mx,6,12
0dcdac94ca55e98294e9d2aed9205cf1,https://www.eluniversal.com.mx/menu/coronavirus-empresa-perdona-rentas-restaurantes-afectados,"A nivel mundial, los restaurantes se han visto obligados a cerrar sus puertas como causa de la presencia del coronavirus, por ello esta empresa arrendadora ayudó a los restaurantes con el perdón de la renta de algunos locales, con la finalidad de que esa cantidad de dinero sea destinada al pago de los empleados restauranteros. ",Empresa en Estados Unidos perdona rentas a restaurantes afectados por la pandemia,eluniversal,www.eluniversal.com.mx,7,25
fb99a015859d0a6e36c8a9f00446e5d1,https://www.eluniversal.com.mx/estados/fallece-mujer-por-tornado-en-nuevo-leon-tambien-hay-un-herido,"La tarde de este viernes dos personas murieron y cinco resultaron lesionadas,  por los embates de una tormenta que estuvo acompañada por un tornado, descargas eléctricas, rachas de viento de hasta 115 kilómetros por hora, fuertes precipitaciones y granizo, informó Protección Civil de Nuevo León.  ",Fallecen dos por tornado en Nuevo León; también hay 5 heridos,eluniversal,www.eluniversal.com.mx,6,26
fcc18044b851836c78b46608afcab912,https://www.eluniversal.com.mx/estados/clases-online-sin-computadora-en-casa," Torreón, Coah.",Clases online. Sin computadora en casa ,eluniversal,www.eluniversal.com.mx,4,2
c490ceb1e56c27f52a559e4047112ca8,https://www.eluniversal.com.mx/nacion/coronavirus-mexico-supera-los-3-mil-muertos-por-covid-suman-31522-contagios,"México suma en el corte de este 8 de mayo 3 mil 160 muertes por Covid-19, con 31 mil 522 casos de contagios confirmados de coronavirus, según informan autoridades de la Secretaría de Salud. ","México supera los 3 mil muertos por Covid; suman 31,522 contagios",eluniversal,www.eluniversal.com.mx,7,16
8a774d72760729a47e2fb690cd275613,https://www.eluniversal.com.mx/universal-deportes/futbol/america-guillermo-ochoa-salta-en-defensa-del-piojo-herrera,"Para Guillermo Ochoa, Miguel Herrera es el entrenador ideal del Club América. Ya hizo historia y el vestuario no e para cualquiera, apuntó el arquero azulcrema. ","Memo Ochoa salta en defensa del 'Piojo' Herrera; ""ya hizo historia""",eluniversal,www.eluniversal.com.mx,7,14
2e1657a2e7cd5c702edefe48f59cc9f5,https://www.eluniversal.com.mx/cartera/impuestos-netflix-no-son-nuevos-dice-hacienda,"El titular de la Secretaría de Hacienda y Crédito Público (SHCP), Arturo Herrera, aclaró que los impuestos a la economía digital, que entrarán en vigor el próximo 1 de junio, no son nuevos ni representan un aumento.","Impuestos a Netflix y plataformas digitales no son nuevos, aclara Hacienda",eluniversal,www.eluniversal.com.mx,7,19
923ee1b458713e9a70a032e9dfbcba94,https://www.eluniversal.com.mx/estados/sujeto-tortura-y-mata-un-perro-en-zacatecas-frente-ninos,"Zacatecas. - Un perrito callejero que se metió a la vivienda de una familia en busca de alimento fue cruelmente torturado por una persona que, frente a niños y mujeres de esa hogar, le incrustó una barra de metal en el hocico y durante horas lo hizo sufrir hasta matarlo. ",Sujeto tortura y mata a un perro en Zacatecas frente a niños,eluniversal,www.eluniversal.com.mx,7,23
e1e4146fade4553cdb2cda3f9c99e69b,https://www.eluniversal.com.mx/universal-deportes/futbol/la-liga-jugador-del-real-madrid-se-fractura-entrenando-en-casa,"La temporada de Luka Jovic con el Real Madrid ya se consideraba un fracaso, que creció durante el parón por el coronavirus al ser acusado de no respetar el confinamiento en Belgrado y se redondeó con la más reciente actualización: sufrió una fractura en la antesala de la vuelta a los entrenamientos. ",Jugador del Real Madrid se fractura entrenando en casa,eluniversal,www.eluniversal.com.mx,6,22
